id,title,category,authority,source_url,policy_page,local_path
mak-policy-0001,Grants Administration and Management Policy,financial-management-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Mak-Grants-Administration-and-Management-Policy.pdf,https://policies.mak.ac.ug/policy/grants-administration-and-management-policy,knowledge/raw/mak-policies/financial-management-policies/Mak-Grants-Administration-and-Management-Policy.pdf
mak-policy-0002,Makerere University Fees Policy 2016,financial-management-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Mak-Fees-Policy-2016.pdf,https://policies.mak.ac.ug/policy/makerere-university-fees-policy-2016,knowledge/raw/mak-policies/financial-management-policies/Mak-Fees-Policy-2016.pdf
mak-policy-0003,Makerere University Investment Policy,financial-management-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-University-Investment-Policy-2021.pdf,https://policies.mak.ac.ug/policy/makerere-university-investment-policy,knowledge/raw/mak-policies/financial-management-policies/Makerere-University-Investment-Policy-2021.pdf
mak-policy-0004,"THE PUBLIC PROCUREMENT AND DISPOSAL OF PUBLIC ASSETS ACT, 2003",financial-management-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/ACTS%20_SUPPLEMENT_PPDA_2003.pdf,https://policies.mak.ac.ug/policy/public-procurement-and-disposal-public-assets-act-2003,knowledge/raw/mak-policies/financial-management-policies/ACTS_20_SUPPLEMENT_PPDA_2003.pdf
mak-policy-0005,"THE PUBLIC PROCUREMENT AND DISPOSAL OF PUBLIC ASSETS REGULATIONS, 2003",financial-management-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/STATUTORY_%20INSTRUMENTS_PDDA_Regulations_2003.pdf,https://policies.mak.ac.ug/policy/public-procurement-and-disposal-public-assets-regulations-2003,knowledge/raw/mak-policies/financial-management-policies/STATUTORY__20INSTRUMENTS_PDDA_Regulations_2003.pdf
mak-policy-0006,HIV/AIDS Policy,general-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/HIV_AIDS_Policy.pdf,https://policies.mak.ac.ug/policy/hivaids-policy,knowledge/raw/mak-policies/general-policies/HIV_AIDS_Policy.pdf
mak-policy-0007,Makerere University College Statute 2026,general-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/MAKERERE%20UNIVERSITY%20COLLEGE%20STATUTE%202026.pdf,https://policies.mak.ac.ug/policy/makerere-university-college-statute-2026,knowledge/raw/mak-policies/general-policies/MAKERERE_20UNIVERSITY_20COLLEGE_20STATUTE_202026.pdf
mak-policy-0008,Makerere University Policy on Persons Living With Disabilities,general-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-Policy-on-Persons-Living-With-Disabilities.pdf,https://policies.mak.ac.ug/policy/makerere-university-policy-persons-living-disabilities,knowledge/raw/mak-policies/general-policies/Makerere-Policy-on-Persons-Living-With-Disabilities.pdf
mak-policy-0009,Policy and Regulations Against Sexual Harrasment,general-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,https://policies.mak.ac.ug/policy/policy-and-regulations-against-sexual-harrasment,knowledge/raw/mak-policies/general-policies/Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf
mak-policy-0010,Quality Assurance Policy Framework,general-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Quality_Assurance_Policy_0.pdf,https://policies.mak.ac.ug/policy/quality-assurance-policy-framework,knowledge/raw/mak-policies/general-policies/Quality_Assurance_Policy_0.pdf
mak-policy-0011,Safegaurding Policy,general-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-Safeguarding-Policy.pdf,https://policies.mak.ac.ug/policy/safegaurding-policy,knowledge/raw/mak-policies/general-policies/Makerere-Safeguarding-Policy.pdf
mak-policy-0012,Transport Management Policy Guidelines,general-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-University-Transport-Policy-Management-Guidelines-July2011.pdf,https://policies.mak.ac.ug/policy/transport-management-policy-guidelines,knowledge/raw/mak-policies/general-policies/Makerere-University-Transport-Policy-Management-Guidelines-July2011.pdf
mak-policy-0013,Universities and other Tertiary Institutions Act Cap 262,general-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/REVISED%20UOTIA%20CAP%20262%20AS%20OF%20JULY%202024_opt.pdf,https://policies.mak.ac.ug/policy/universities-and-other-tertiary-institutions-act-cap-262,knowledge/raw/mak-policies/general-policies/REVISED_20UOTIA_20CAP_20262_20AS_20OF_20JULY_202024_opt.pdf
mak-policy-0014,Gender Equality Policy,governance-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-University-Gender-Equality-Policy-2009.pdf,https://policies.mak.ac.ug/policy/gender-equality-policy,knowledge/raw/mak-policies/governance-policies/Makerere-University-Gender-Equality-Policy-2009.pdf
mak-policy-0015,Makerere Universiry Council Charter 2019,governance-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/MAKERERE-UNIVERSITY-COUNCIL-CHARTER.pdf,https://policies.mak.ac.ug/policy/makerere-universiry-council-charter-2019,knowledge/raw/mak-policies/governance-policies/MAKERERE-UNIVERSITY-COUNCIL-CHARTER.pdf
mak-policy-0016,Makerere University (Corporate Governance) Guidelines 2022,governance-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-University_Corporate-Governance_Guidelines-2022.pdf,https://policies.mak.ac.ug/policy/makerere-university-corporate-governance-guidelines-2022,knowledge/raw/mak-policies/governance-policies/Makerere-University_Corporate-Governance_Guidelines-2022.pdf
mak-policy-0017,Makerere University Naming Policy,governance-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-Naming-Policy.pdf,https://policies.mak.ac.ug/policy/makerere-university-naming-policy,knowledge/raw/mak-policies/governance-policies/Makerere-Naming-Policy.pdf
mak-policy-0018,Policy & Regulations on Sexual Harassment Prevention,governance-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Policy-and-Regulations-Against-Sexual-Harassment-2018_0.pdf,https://policies.mak.ac.ug/policy/policy-regulations-sexual-harassment-prevention,knowledge/raw/mak-policies/governance-policies/Policy-and-Regulations-Against-Sexual-Harassment-2018_0.pdf
